term,GVIF,Df,GVIF^(1/(2*Df))
year_c,7.025521861472493,1,2.6505701012183196
post_2002,5.007756197948878,1,2.2378016440133557
post_2009,4.444187931568449,1,2.108124268530783
arrangement_type,11.344944654468373,9,1.1444587194194331
log_n_conditions,1.7045085299138176,1,1.3055682785338412
log_loan_size,1.7708857949936367,1,1.330746330069573
region,4.929006132201475,4,1.2206605803089687
transition_economy,2.7486172152105515,1,1.6578954174526666
repeat_borrower,1.6624603702009662,1,1.28936432795427
